threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.35,1.8,8,15,0.3,0.38,150,0.002,0.003,2.5,0.8563711322344497,0.45689838526479587,0.7517316131411155,0.32820037373166494,573.4
0.35,1.6,4,7,0.35,0.32,120,0.003,0.001,2.0,0.8564075677604306,0.45619069119154554,0.7077009108472797,0.3366006556069284,882.2
0.25,1.6,7,17,0.15,0.34,120,0.002,0.002,1.5,0.8566452411207924,0.45326701284248533,0.853994152792855,0.3085161672503893,595.6
0.2,1.6,4,7,0.15,0.3,120,0.0005,0.002,1.0,0.8564906565298738,0.43894504090746256,0.9124389006069004,0.28898980253687284,854.2
0.35,1.0,8,21,0.35,0.34,45,0.003,0.002,2.0,0.8566893946853487,0.3412479380417542,0.3020058298911409,0.39243049825731313,482.8
0.15,1.4,8,13,0.25,0.3,165,0.004,0.001,1.0,0.8566684119130464,0.4265189422120267,0.9410550997796537,0.275754479425077,485.4
0.3,1.2,4,15,0.35,0.34,45,0.002,0.004,1.0,0.856235743995887,0.4533590066510801,0.6816539992457352,0.33965918201999423,758.0
0.3,1.8,8,21,0.15,0.38,90,0.0005,0.001,1.5,0.8562622535902294,0.45671532663838166,0.8230231553171719,0.31605785604415737,541.2
0.25,1.4,6,5,0.2,0.32,165,0.003,0.0,1.0,0.856701644392569,0.4575643105045673,0.8237360399266311,0.3167669161858388,648.6
0.15,1.0,9,21,0.2,0.36,120,0.003,0.002,1.0,0.8564397133102781,0.4441218742242006,0.8923864840439389,0.29562807677665015,354.2
0.25,1.4,9,15,0.35,0.38,45,0.0005,0.001,1.0,0.8562085067297271,0.45617014847406584,0.8232371862206369,0.3155043316992037,432.4
0.35,1.0,9,7,0.25,0.36,120,0.003,0.004,2.0,0.8563917170913482,0.3365317242981301,0.2950127616403654,0.39197386266473955,324.6
0.3,1.4,5,21,0.15,0.34,120,0.0005,0.002,2.5,0.8565160961590012,0.458289228616914,0.7475925534052305,0.3304422418977818,697.2
0.3,1.8,9,13,0.15,0.32,120,0.004,0.0,0.5,0.8566585531802078,0.4569313080182777,0.8198114439943133,0.3167440055062619,506.6
